,shoptitle,prices,areaa,links,front,street_width,age
0,محل للإيجار في شارع شعبة العنبري ، حي العود ، الرياض ، الرياض,"60,000 ريال",100 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العود/شارع-شعبة-العنبري-حي-العود-الرياض-الرياض-3042372,شرق,30 م,جديد
1,محل للإيجار في طريق عمر بن عبد العزيز الفرعي ، حي الربوة ، الرياض ، الرياض,"276,000 ريال",460 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/طريق-عمر-بن-عبد-العزيز-الفرعي-حي-الربوة-الرياض-الرياض-2668679,جنوب,60 م,جديد
2,محل للإيجار في شارع الأمير متعب بن عبدالعزيز ، حي الربوة ، الرياض ، الرياض,"80,000 ريال",125 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/شارع-الأمير-متعب-بن-عبدالعزيز-حي-الربوة-الرياض-الرياض-2494818,غرب,36 م, 6 سنة
3,محل للإيجار في شارع احمد بن فارس ، حي ثليم ، الرياض ، الرياض,"16,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-احمد-بن-فارس-حي-ثليم-الرياض-الرياض-2616089,شرق,20 م, 5 سنة
4,محل للإيجار في شارع جرير ، حي جرير ، الرياض ، الرياض,"17,500 ريال",70 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/شارع-جرير-حي-جرير-الرياض-الرياض-2153960,شمال,,
5,محل للإيجار في الطريق الدائري الجنوبي ، حي الفيصلية ، الرياض ، الرياض,"100,000 ريال",155 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/الطريق-الدائري-الجنوبي-حي-الفيصلية-الرياض-الرياض-2386429,جنوب,60 م, 5 سنة
6,محل للإيجار في طريق المدينة المنورة ، حي الصناعية القديمة ، الرياض ، الرياض,"355,000 ريال",323 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الصناعية/طريق-المدينة-المنورة-حي-الصناعية-القديمة-الرياض-الرياض-2508878,شمال شرقي,30 م,جديد
7,محل للإيجار في الرياض ، حي الفيصلية ، الرياض,"42,000 ريال",30 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/الرياض-حي-الفيصلية-الرياض-2254614,غرب,50 م, 10 سنة
8,محل للإيجار في حي ، طريق الأمير محمد بن عبدالرحمن الفرعي ، حي منفوحة الجديدة ، الرياض ، الرياض,"75,000 ريال",185 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/حي-طريق-الأمير-محمد-بن-عبدالرحمن-الفرعي-حي-منفوحة-الجديدة-الرياض-الرياض-3533822,شمال,60 م, 30 سنة
9,محل للإيجار في حي ، طريق الأمير محمد بن عبدالرحمن الفرعي ، حي منفوحة الجديدة ، الرياض,"25,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/حي-طريق-الأمير-محمد-بن-عبدالرحمن-الفرعي-حي-منفوحة-الجديدة-الرياض-2960085,جنوب,,
10,محل للإيجار في مركز جمال ، شارع الغرابى ، حي العمل ، الرياض,"60,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/مركز-جمال-شارع-الغرابى-حي-العمل-الرياض-1690267,جنوب,12 م, 12 سنة
11,محل للإيجار في شارع ابي زيد القرطبي ، حي المربع ، الرياض ، الرياض,"40,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/شارع-ابي-زيد-القرطبي-حي-المربع-الرياض-الرياض-2155145,غرب,40 م,جديد
12,محل للإيجار في شارع البطحاء ، حي جبرة ، الرياض,"400,000 ريال",1000 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جبرة/شارع-البطحاء-حي-جبرة-الرياض-1615752,شرق,60 م, 30 سنة
13,محل للإيجار في الطريق الدائري الشرقي الفرعي ، حي الفيصلية ، الرياض ، الرياض,"400,000 ريال",660 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/الطريق-الدائري-الشرقي-الفرعي-حي-الفيصلية-الرياض-الرياض-2351197,شرق,100 م,جديد
14,محل للإيجار في حي المربع ، الرياض,"20,000 ريال",14 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/حي-المربع-الرياض-1837619,شرق,,
15,محل للإيجار في شارع المهد ، حي جرير ، الرياض,"15,500 ريال",39 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/شارع-المهد-حي-جرير-الرياض-1207055,شمال,60 م, 7 سنة
16,محل للإيجار في طريق الإمام علي بن أبي طالب -رضي الله عنه- الفرعي ، حي الفيصلية ، الرياض ، الرياض,"100,000 ريال",100 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/طريق-الإمام-علي-بن-أبي-طالب--رضي-الله-عنه--الفرعي-حي-الفيصلية-الرياض-الرياض-3086769,غرب,60 م,جديد
17,محل للإيجار في حي ، طريق الملك فهد ، حي عتيقة ، الرياض,"18,000 ريال",43 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-عتيقة/حي-طريق-الملك-فهد-حي-عتيقة-الرياض-2976132,غرب,100 م, 15 سنة
18,محل للإيجار في حي عتيقة ، الرياض ، الرياض,"25,000 ريال",140 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-عتيقة/حي-عتيقة-الرياض-الرياض-2666700,جنوب,60 م, 26 سنة
