,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
0,0,"محل للإيجار في شارع ابي جعفر المنصور, حي الشهداء, الرياض","115,500 ريال",75 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الشهداء/شارع-ابي-جعفر-المنصور-حي-غرناطة-الرياض-الرياض-2652036,شمال غربي,36 م, 4 سنة
1,1,محل للإيجار في حي الخليج ، الرياض ، الرياض,"15,000 ريال",44 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/حي-الخليج-الرياض-الرياض-2719202,شرق,30 م,جديد
2,2,محل للإيجار في شارع الصحابة ، حي المونسية ، الرياض ، الرياض,"35,000 ريال",100 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/شارع-الصحابة-حي-المونسية-الرياض-الرياض-3028913,شرق,5 م, 2 سنة
3,3,محل للإيجار في حي القادسية ، الرياض ، الرياض,"20,000 ريال",36 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-القادسية/حي-القادسية-الرياض-الرياض-3181154,شمال,30 م, 5 سنة
4,4,محل للإيجار في شارع فضيلة السيد محمد حسين أفندي ، حي الرمال ، الرياض ، الرياض,"60,000 ريال",80 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-فضيلة-السيد-محمد-حسين-أفندي-حي-الرمال-الرياض-الرياض-3277405,شمال,30 م,جديد
5,5,محل للإيجار في شارع عبدالله بن مرخان ، حي قرطبة ، الرياض ، الرياض,"30,000 ريال",64 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/شارع-عبدالله-بن-مرخان-حي-قرطبة-الرياض-الرياض-3243204,شمال,20 م, 5 سنة
6,6,محل للإيجار في شارع محمد عبدالله البرقي ، حي المونسية ، الرياض ، الرياض,"18,000 ريال",32 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/شارع-محمد-عبدالله-البرقي-حي-المونسية-الرياض-الرياض-3181187,شمال,30 م, 5 سنة
7,7,محل للإيجار في حي ، شارع محمد البرقي ، حي المونسية ، الرياض ، الرياض,"15,000 ريال",36 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/حي-شارع-محمد-البرقي-حي-المونسية-الرياض-الرياض-3206841,شمال,30 م, 3 سنة
8,8,محل للإيجار في شارع الأمين عبدالله العلي النعيم ، حي الملز ، الرياض,"25,000 ريال",38 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/شارع-الأمين-عبدالله-العلي-النعيم-حي-الملز-الرياض-1865684,غرب,25 م, 8 سنة
9,9,محل للإيجار في حي المونسية ، الرياض ، الرياض,"35,000 ريال",100 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/حي-المونسية-الرياض-الرياض-3271643,شمال,60 م, 2 سنة
10,10,محل للإيجار في حي قرطبة ، الرياض ، الرياض,"30,000 ريال",38 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/حي-قرطبة-الرياض-الرياض-3223183,شمال,20 م, 2 سنة
11,11,محل للإيجار في شارع الشيخ عبدالعزيز بن عبدالرحمن بن بشر ، حي الخليج ، الرياض ، الرياض,"10,000 ريال",35 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-الشيخ-عبدالعزيز-بن-عبدالرحمن-بن-بشر-حي-الخليج-الرياض-الرياض-2219485,جنوب,40 م, 22 سنة
12,12,محل للإيجار في شارع الضائن ، حي الخليج ، الرياض ، الرياض,"15,000 ريال",36 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-الضائن-حي-الخليج-الرياض-الرياض-2545492,غرب,35 م, 9 سنة
13,13,محل للإيجار في شارع الامير محمد بن فيصل بن تركي ، حي القدس ، الرياض ، الرياض,"118,000 ريال",132 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-القدس/شارع-الامير-محمد-بن-فيصل-بن-تركي-حي-القدس-الرياض-الرياض-2579653,شرق,30 م,جديد
14,14,محل للإيجار في شارع الندوة ، حي الندوة ، الرياض ، الرياض,"40,000 ريال",300 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النظيم/شارع-الندوة-حي-الندوة-الرياض-الرياض-2266488,شرق,40 م, 3 سنة
15,15,محل للإيجار في شارع الجمحي ، حي المنار ، الرياض ، الرياض,"995,000 ريال",1668 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المنار/شارع-الجمحي-حي-المنار-الرياض-الرياض-2456471,شرق,,
16,16,محل للإيجار في شارع الزبير بن العوام ، حي الروابي ، الرياض ، الرياض,"13,000 ريال",52 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الروابي/شارع-الزبير-بن-العوام-حي-الروابي-الرياض-الرياض-2528112,جنوب,30 م, 8 سنة
17,17,محل للإيجار في شارع حفصة بنت عمر ، حي النهضة ، الرياض ، الرياض,"150,000 ريال",200 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النهضة/شارع-حفصة-بنت-عمر-حي-النهضة-الرياض-الرياض-2398138,جنوب,,
18,18,محل للإيجار في شارع الشيخ حسن بن حسين بن علي ، حي الحمراء ، الرياض ، الرياض,"40,000 ريال",48 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الحمراء/شارع-الشيخ-حسن-بن-حسين-بن-علي-حي-الحمراء-الرياض-الرياض-2980644,شرق,60 م, 5 سنة
19,19,محل للإيجار في الرياض ، حي الندوة ، الرياض,"200,000 ريال",1200 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النظيم/الرياض-حي-الندوة-الرياض-2537506,شرق,40 م, 4 سنة
20,20,محل للإيجار في شارع الشيخ عبدالعزيز بن عبدالرحمن بن بشر ، حي الخليج ، الرياض ، الرياض,"10,000 ريال",35 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-الشيخ-عبدالعزيز-بن-عبدالرحمن-بن-بشر-حي-الخليج-الرياض-الرياض-2219485,جنوب,40 م, 22 سنة
