,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
0,0,محل للإيجار في شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"50,000 ريال",800 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-2458593,شرق,40 م, 2 سنة
1,1,محل للإيجار في شارع هارون الرشيد الفرعي ، حي السلي ، الرياض ، الرياض,"15,000 ريال",35 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-هارون-الرشيد-الفرعي-حي-السلي-الرياض-الرياض-2724042,غرب,60 م, 11 سنة
2,2,محل للإيجار في حي العزيزية ، الرياض ، الرياض,"280,000 ريال",562 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-الرياض-2742325,جنوب غربي,50 م,جديد
3,3,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"6,000 ريال",27 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3038337,شمال,35 م, 11 سنة
4,4,محل للإيجار في حي ، شارع وادي هجر ، حي الدار البيضاء ، الرياض ، الرياض,"156,000 ريال",72 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-وادي-هجر-حي-الدار-البيضاء-الرياض-الرياض-3681452,شمال,,
5,5,محل للإيجار في طريق النصر ، حي العزيزية ، الرياض ، الرياض,"9,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-النصر-حي-العزيزية-الرياض-الرياض-3767585,شمال,,
6,6,محل للإيجار في شارع الخليفة المأمون ، حي بدر ، الرياض ، الرياض,"38,000 ريال",101 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الخليفة-المأمون-حي-بدر-الرياض-الرياض-2727708,شمال,36 م, 35 سنة
7,7,محل للإيجار في حي أحد ، الرياض ، الرياض,"12,000 ريال",32 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-أحد/حي-أحد-الرياض-الرياض-2480355,جنوب,36 م, 4 سنة
8,8,محل للإيجار في شارع وادي الجزي ، حي بدر ، الرياض ، الرياض,"125,000 ريال",480 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الجزي-حي-بدر-الرياض-الرياض-3559882,شمال,60 م,جديد
9,9,محل للإيجار في شارع المثنى بن حارثة ، حي الشفا ، الرياض ، الرياض,"31,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-المثنى-بن-حارثة-حي-الشفا-الرياض-الرياض-3719019,شرق,,
10,10,محل للإيجار في شارع الاعتدال ، حي بدر ، الرياض ، الرياض,"25,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الاعتدال-حي-بدر-الرياض-الرياض-2525490,شمال,30 م,جديد
11,11,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض,"85,000 ريال",160 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-ابن-تيمية-حي-بدر-الرياض-1113608,شمال,60 م, 2 سنة
