,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
0,0,محل للإيجار في شارع سدره ، حي طويق ، الرياض ، الرياض,"16,000 ريال",50 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-سدره-حي-طويق-الرياض-الرياض-3660194,شمال غربي,20 م, 15 سنة
1,1,محل للإيجار في شارع حلب ، حي ظهرة لبن ، الرياض ، الرياض,"80,000 ريال",132 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-حلب-حي-ظهرة-لبن-الرياض-الرياض-3566194,شرق,30 م,جديد
2,2,محل للإيجار في شارع احمد بن منيع ، حي الحزم ، الرياض ، الرياض,"9,000 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الحزم/شارع-احمد-بن-منيع-حي-الحزم-الرياض-الرياض-3650031,جنوب,,
3,3,محل للإيجار في شارع الجوهرة بنت ابن معمر ، حي الشرفية ، الرياض ، الرياض,"15,000 ريال",20 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الشرفية/شارع-الجوهرة-بنت-ابن-معمر-حي-الشرفية-الرياض-الرياض-2622113,شمال,30 م, 20 سنة
4,4,محل للإيجار في شارع الشيخ اسحاق بن عبدالرحمن بن حسن ، حي الزهرة ، الرياض ، الرياض,"7,000 ريال",28 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الزهرة/شارع-الشيخ-اسحاق-بن-عبدالرحمن-بن-حسن-حي-الزهرة-الرياض-الرياض-3380624,شمال,,
5,5,محل للإيجار في شارع الحويطة ، حي هجرة لبن ، الرياض ، الرياض,"12,000 ريال",25 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-لبن/شارع-الحويطة-حي-هجرة-لبن-الرياض-الرياض-2736453,غرب,,
6,6,محل للإيجار في شارع ينبع ، حي ظهرة لبن ، الرياض ، الرياض,"20,000 ريال",64 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-ينبع-حي-ظهرة-لبن-الرياض-الرياض-3519992,جنوب,40 م, 5 سنة
7,7,محل للإيجار في طريق المدينة المنورة ، حي طويق ، الرياض ، الرياض,"50,000 ريال",112 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/طريق-المدينة-المنورة-حي-طويق-الرياض-الرياض-3265457,جنوب,30 م, 17 سنة
8,8,محل للإيجار في شارع الوليد بن عبدالملك ، حي طويق ، الرياض ، الرياض,"9,000 ريال",64 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الوليد-بن-عبدالملك-حي-طويق-الرياض-الرياض-3595704,شمال,40 م, 18 سنة
9,9,محل للإيجار في شارع رنى ، حي شبرا ، الرياض ، الرياض,"12,000 ريال",48 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-شبرا/شارع-رنى-حي-شبرا-الرياض-الرياض-3652597,جنوب,40 م, 29 سنة
